setup,side,tp,sl,ts,filter,n,exp,win,pf,total,robust,yr_tot
fib50,cont,4.0,3.0,288,conf15,1699,0.006084515959931471,45.08534432018835,1.0156262788698194,10.337592615923569,0.42857142857142855,7
fib50,cont,4.0,2.0,12,volHI,1396,0.005923449229010117,47.85100286532951,1.022053191602299,8.269135123698124,0.5714285714285714,7
pocket,cont,4.0,2.0,96,volHI,1295,0.005790247987391143,35.907335907335906,1.0131733621966332,7.49837114367153,0.2857142857142857,7
pocket,fade,4.0,2.0,48,legYoung,420,0.00570367439108966,36.904761904761905,1.0206458179717135,2.395543244257657,0.5714285714285714,7
fib50,cont,4.0,2.0,48,conf15,1699,0.005665464633314777,38.728663919952915,1.0199272932514662,9.625624412001805,0.42857142857142855,7
fib50,cont,4.0,3.0,96,legOld,2145,0.005004050971159575,46.06060606060606,1.0135056715384168,10.733689333137288,0.2857142857142857,7
pocket,fade,1.5,3.0,96,conf1,263,0.004958848993756839,68.44106463878326,1.0261905967334388,1.3041772853580487,0.6666666666666666,6
pocket,cont,4.0,3.0,48,conf3,823,0.004911750504662218,46.78007290400972,1.0170653211076233,4.042370665337005,0.2857142857142857,7
fib50,cont,3.0,2.0,12,legOld,2145,0.004823421935651609,48.39160839160839,1.026187916428774,10.346240051972702,0.5714285714285714,7
fib50,cont,4.0,2.0,288,conf15,1699,0.004810455483791506,35.84461447910536,1.0154043484486488,8.17296386696177,0.42857142857142855,7
fib50,cont,3.0,1.5,48,volSpike,1716,0.004683845463767518,37.878787878787875,1.0205234567764203,8.037478815825061,0.2857142857142857,7
fib50,cont,4.0,2.0,24,conf15,1699,0.004647114033298515,43.143025309005296,1.0189145933356418,7.895446742574176,0.42857142857142855,7
pocket,cont,3.0,3.0,96,rejWick,494,0.0045494487004797916,52.834008097166,1.0147858429227778,2.247427658037017,0.42857142857142855,7
pocket,cont,3.0,3.0,24,volHI,1295,0.00454256322703627,50.810810810810814,1.012520438700975,5.88261937901197,0.5714285714285714,7
fib50,cont,2.0,2.0,12,conf0,266,0.004442266693457617,53.00751879699248,1.0250861751377627,1.1816429404597262,0.5714285714285714,7
fib50,cont,1.5,3.0,24,conf3of3,294,0.004431549772097847,65.3061224489796,1.024550683280218,1.3028756329967672,0.7142857142857143,7
pocket,fade,4.0,2.0,24,conf2of3,463,0.004362924498625706,39.740820734341256,1.0212429615734828,2.020034042863702,0.42857142857142855,7
fib50,cont,3.0,2.0,96,legOld,2145,0.004346367984384407,43.21678321678321,1.0156328746824559,9.322959326504552,0.5714285714285714,7
fib50,cont,4.0,0.5,24,conf0,266,0.004275272484528388,20.676691729323306,1.0351775611474983,1.1372224808845512,0.42857142857142855,7
pocket,fade,2.0,3.0,48,conf1,263,0.004217083176043619,59.6958174904943,1.0189578673223774,1.1090928752994718,0.5,6
fib50,cont,4.0,2.0,288,volSpike,1716,0.00414726053192826,36.48018648018648,1.0135413804720514,7.116699072788894,0.42857142857142855,7
fib50,cont,3.0,3.0,288,legOld,2145,0.003761546082707757,52.634032634032636,1.0110716640012256,8.068516347408139,0.2857142857142857,7
fib50,cont,4.0,1.5,96,volSpike,1716,0.0037382531949517956,31.293706293706293,1.0146296020872103,6.414842482537281,0.5714285714285714,7
fib50,cont,3.0,2.0,48,volHI,1396,0.003722026091578907,42.693409742120345,1.009717222239677,5.195948423844154,0.42857142857142855,7
pocket,fade,4.0,1.5,48,legYoung,420,0.0036601621364740467,30.476190476190478,1.0152317698000082,1.5372680973190995,0.42857142857142855,7
fib50,cont,2.0,2.0,12,conf15,1699,0.003654323070825038,52.08946439081813,1.0210007934458003,6.208694897331739,0.5714285714285714,7
fib50,cont,4.0,3.0,12,conf0,266,0.0035866964246974165,52.255639097744364,1.0168913004198907,0.9540612489695128,0.5714285714285714,7
fib50,cont,4.0,3.0,12,conf15,1699,0.003550046103527488,50.618010594467336,1.0172907555297768,6.031528329893202,0.5714285714285714,7
pocket,fade,1.5,3.0,288,conf1,263,0.0035216605048124737,68.8212927756654,1.0182178597728853,0.9261967127656806,0.6666666666666666,6
fib50,cont,1.5,0.5,288,conf3of3,294,0.0034917003748195187,30.952380952380953,1.0354905295694765,1.0265599101969385,0.42857142857142855,7
fib50,cont,1.5,0.5,96,conf3of3,294,0.0034917003748195187,30.952380952380953,1.0354905295694765,1.0265599101969385,0.42857142857142855,7
